Reference;Afsender;Beløb;Løbende_saldo;Statuskonto
Cap RW-250211 29 ACONTO;2000;-3304,32;-33197552,81;90540000
Cap RG-250211 29 ACONTO;05479;-6400,00;-33194248,49;90540000
Cap Rekvireret udbetalin;2000;-79,74;-33187848,49;90540000
Cap Overførsel                     Meddelnr. 03978131125041;PROTECTOR FORSIKRING DANMARK;1763932,40;-33187768,75;90540000
Cap Overførsel                     Meddelnr. 03978131025041;PROTECTOR FORSIKRING DANMARK;2367,50;-34951701,15;90540000
Cap NKS-KY;05395;-640,00;-34954068,65;90540000
Cap NKS-KY;GIRO-CARD;-546,31;-34953428,65;90540000
Cap NKS-KY;GIRO-CARD;-214,71;-34952882,34;90540000
Cap NKS-KY;03724;-500,00;-34952667,63;90540000
Cap NKS-KY;06110;-3971,00;-34952167,63;90540000
Cap NKS-KY;GIRO-CARD;-92,71;-34948196,63;90540000
Cap Aarhus Kommune                 Meddelnr. 07005565525038;AARHUS KOMMUNE;112239,00;-34948103,92;90540000
NKS-KY;;-21350,94;-35060342,92;90540000
NKS-KY;;-4000,00;-35038991,98;90540000
NKS-KY;;-2609,52;-35034991,98;90540000
NKS-KY;;-208052,77;-35032382,46;90540000
NKS-KY;;-1396,64;-34824329,69;90540000
NKS-KP;;-1708,50;-34822933,05;90540000
Leverandørudbetaling;;-1473784,01;-34821224,55;90540000
Leverandørudbetaling;;-765234,79;-33347440,54;90540000
Gebyr udland 3504114765GEB   NCHG;;-4,00;-32582205,75;90540000
Gebyr udland 3504112292GEB   NCHG;;-4,00;-32582201,75;90540000
Indbetalingskort K 89182816-07.02;;349808,96;-32582197,75;90540000
Indbetalingskort K 86446707-07.02;;3113,48;-32932006,71;90540000
Indbetalingskort K 86136228-07.02;;5100,00;-32935120,19;90540000
Indbetalingskort K 84788767-07.02;;7833313,66;-32940220,19;90540000
Indbetalingskort K 82075348-07.02;;1000,00;-40773533,85;90540000
Bs betaling KON konto 0970205918;;255150,09;-40774533,85;90540000
Bs betaling KON konto 0970205918;;-4506,09;-41029683,94;90540000
Bgs Pension Peter090361u           dl. af BS;RANDERS KOMMUNE;7505,00;-41025177,85;90540000
Bgs Pens. Tanja 061074.u           dl af BS;RANDERS KOMMUNE;2500,00;-41032682,85;90540000
Bgs Pens. Rolf 060387 ud           l. af BS;RANDERS KOMMUNE;5560,00;-41035182,85;90540000
Bgs Pens. Debbie Bak 210           989 udl. af BS;RANDERS KOMMUNE;3880,00;-41040742,85;90540000
Bgs Pens. Chris 070288 u           dl. af BS;RANDERS KOMMUNE;4371,00;-41044622,85;90540000
Bgs Pens. Albrecht 22049           4 udl .af BS;RANDERS KOMMUNE;14265,00;-41048993,85;90540000
Dankort-salg 09.02 5247969 691706;;601,00;-41063258,85;90540000
Dankort-salg 09.02 4922735 208545;;7,00;-41063859,85;90540000
Dankort-salg 09.02 4922735 208545;;120,00;-41063866,85;90540000
Dankort-salg 09.02 4922735 208232;;58,00;-41063986,85;90540000
Dankort-salg 09.02 4922735 208168;;17,00;-41064044,85;90540000
Dankort-salg 09.02 4922735 208146;;6,00;-41064061,85;90540000
Dankort-salg 09.02 4922735 208109;;120,00;-41064067,85;90540000
Dankort-salg 09.02 4922735 208074;;240,00;-41064187,85;90540000
Dankort-salg 09.02 4862899 519250;;3850,00;-41064427,85;90540000
Dankort-salg 09.02 3796930 038850;;488,00;-41068277,85;90540000
Dankort-salg 09.02 3796914 872350;;5022,50;-41068765,85;90540000
Dankort-salg 09.02 3796914 872250;;1576,00;-41073788,35;90540000
Dankort-salg 09.02 3796892 671350;;258,00;-41075364,35;90540000
Dankort-salg 09.02 3796884 620050;;378,00;-41075622,35;90540000
Dankort-salg 09.02 3796795 277050;;108,00;-41076000,35;90540000
Dankort-salg 09.02 2471043 092150;;665,50;-41076108,35;90540000
Dankort-salg 08.02 5541069 258950;;100,00;-41076773,85;90540000
Dankort-salg 08.02 5247969 550580;;33,75;-41076873,85;90540000
Dankort-salg 08.02 4922735 208921;;172,00;-41076907,60;90540000
Dankort-salg 08.02 4922735 208920;;2,00;-41077079,60;90540000
Dankort-salg 08.02 4922735 208614;;2258,00;-41077081,60;90540000
Dankort-salg 08.02 4922735 208545;;310,00;-41079339,60;90540000
Dankort-salg 08.02 4922735 208542;;120,00;-41079649,60;90540000
Dankort-salg 08.02 4922735 208542;;1007,00;-41079769,60;90540000
Dankort-salg 08.02 4922735 208388;;172,00;-41080776,60;90540000
Dankort-salg 08.02 4922735 208363;;576,00;-41080948,60;90540000
Dankort-salg 08.02 4922735 208278;;27,00;-41081524,60;90540000
Dankort-salg 08.02 4922735 208243;;211,00;-41081551,60;90540000
Dankort-salg 08.02 4922735 208233;;40,00;-41081762,60;90540000
Dankort-salg 08.02 4922735 208232;;89,00;-41081802,60;90540000
Dankort-salg 08.02 4922735 208228;;65,00;-41081891,60;90540000
Dankort-salg 08.02 4922735 208202;;95,00;-41081956,60;90540000
Dankort-salg 08.02 4922735 208196;;252,00;-41082051,60;90540000
Dankort-salg 08.02 4922735 208168;;111,00;-41082303,60;90540000
Dankort-salg 08.02 4922735 208167;;120,00;-41082414,60;90540000
Dankort-salg 08.02 4922735 208165;;15,00;-41082534,60;90540000
Dankort-salg 08.02 4922735 208146;;120,00;-41082549,60;90540000
Dankort-salg 08.02 4922735 208146;;125,00;-41082669,60;90540000
Dankort-salg 08.02 4922735 208140;;171,00;-41082794,60;90540000
Dankort-salg 08.02 4922735 208135;;166,00;-41082965,60;90540000
Dankort-salg 08.02 4922735 208109;;36,00;-41083131,60;90540000
Dankort-salg 08.02 4922735 208074;;120,00;-41083167,60;90540000
Dankort-salg 08.02 4922735 208074;;660,00;-41083287,60;90540000
Dankort-salg 08.02 4922735 208065;;700,00;-41083947,60;90540000
Dankort-salg 08.02 4862899 082550;;2570,00;-41084647,60;90540000
Dankort-salg 08.02 3796930 038850;;522,00;-41087217,60;90540000
Dankort-salg 08.02 3796914 872250;;2757,00;-41087739,60;90540000
Dankort-salg 08.02 3796892 671150;;124,00;-41090496,60;90540000
Dankort-salg 08.02 3796884 620050;;221,00;-41090620,60;90540000
Dankort-salg 08.02 3796795 277050;;84,00;-41090841,60;90540000
Dankort-salg 08.02 2471043 092149;;1686,00;-41090925,60;90540000
Dankort-salg 07.02 7221290 725750;;805,00;-41092611,60;90540000
Dankort-salg 07.02 6256651 93IHPD;;1034,00;-41093416,60;90540000
Dankort-salg 07.02 6256651 60YJG2;;1034,00;-41094450,60;90540000
Dankort-salg 07.02 6256651 6D90HK;;1034,00;-41095484,60;90540000
Dankort-salg 07.02 6256651 532764;;290,00;-41096518,60;90540000
Dankort-salg 07.02 6256651 455747;;322,00;-41096808,60;90540000
Dankort-salg 07.02 6256651 22LPNI;;290,00;-41097130,60;90540000
Dankort-salg 07.02 6256651 2GF155;;1034,00;-41097420,60;90540000
Dankort-salg 07.02 6256651 1PK8R3;;322,00;-41098454,60;90540000
Dankort-salg 07.02 6256651 0DRTB3;;1034,00;-41098776,60;90540000
Dankort-salg 07.02 6256651 Z5W245;;1034,00;-41099810,60;90540000
Dankort-salg 07.02 6256651 X74XZJ;;1034,00;-41100844,60;90540000
Dankort-salg 07.02 6256651 X5HM8W;;290,00;-41101878,60;90540000
Dankort-salg 07.02 6256651 O5H18K;;522,00;-41102168,60;90540000
Dankort-salg 07.02 6256651 N4SR40;;322,00;-41102690,60;90540000
Dankort-salg 07.02 6256651 MMK7QF;;330,00;-41103012,60;90540000
Dankort-salg 07.02 6256651 KLZ5H5;;1034,00;-41103342,60;90540000
Dankort-salg 07.02 6256651 H7U387;;1034,00;-41104376,60;90540000
Dankort-salg 07.02 6256651 BD16IE;;322,00;-41105410,60;90540000
Dankort-salg 07.02 6201830 314650;;1392,00;-41105732,60;90540000
