Artskonto;Omkostningssted;PSP-element;Profitcenter;Ordre;Debet/kredit;Beløb;Næste agent;Tekst;Betalingsart;Påligningsår;Betalingsmodtagernr.;Betalingsmodtagernr.kode;Ydelsesmodtagernr.;Ydelsesmodtagernr.kode;Ydelsesperiode fra;Ydelsesperiode til;Oplysningspligtnr.;Oplysningspligtmodtagernr.kode;Oplysningspligtkode;Netværk;Operation;Mængde;Mængdeenhed;Referencenøgle
95931701;;;;;Debet;1639,65;;Cap NKS-KY;;;;;;;;;;;;;;;;
90540000;;;;;Kredit;1639,65;;Cap NKS-KY;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;2100;;H59087649880000864979;;;;;;;;;;;;;;;;
90540000;;;;;Debet;2100;;H59087649880000864979;;;;;;;;;;;;;;;;
95990009;;;;;Debet;4;;H59087649880000864977;;;;;;;;;;;;;;;;
90540000;;;;;Kredit;4;;H59087649880000864977;;;;;;;;;;;;;;;;
95990009;;;;;Debet;547,41;;H59087649880000864976;;;;;;;;;;;;;;;;
90540000;;;;;Kredit;547,41;;H59087649880000864976;;;;;;;;;;;;;;;;
95990009;;;;;Debet;4;;H59087649880000864975;;;;;;;;;;;;;;;;
90540000;;;;;Kredit;4;;H59087649880000864975;;;;;;;;;;;;;;;;
95990009;;;;;Debet;696,66;;H59087649880000864974;;;;;;;;;;;;;;;;
90540000;;;;;Kredit;696,66;;H59087649880000864974;;;;;;;;;;;;;;;;
95931701;;;;;Debet;8398,23;;Cap NKS-KY;;;;;;;;;;;;;;;;
90540000;;;;;Kredit;8398,23;;Cap NKS-KY;;;;;;;;;;;;;;;;
95990009;;;;;Debet;6720;;H59087649880000864972;;;;;;;;;;;;;;;;
90540000;;;;;Kredit;6720;;H59087649880000864972;;;;;;;;;;;;;;;;
95931701;;;;;Debet;17212,23;;NKS-KY;;;;;;;;;;;;;;;;
90540000;;;;;Kredit;17212,23;;NKS-KY;;;;;;;;;;;;;;;;
95931701;;;;;Debet;2155,88;;Cap NKS-KY;;;;;;;;;;;;;;;;
90540000;;;;;Kredit;2155,88;;Cap NKS-KY;;;;;;;;;;;;;;;;
95941300;;;;;Kredit;189;;DK5247969 Museum Østjylland;;;;;;;;;;;;;;;;
90540000;;;;;Debet;189;;DK5247969 Museum Østjylland;;;;;;;;;;;;;;;;
95941300;;;;;Kredit;30;;DK5247969 Museum Østjylland;;;;;;;;;;;;;;;;
90540000;;;;;Debet;30;;DK5247969 Museum Østjylland;;;;;;;;;;;;;;;;
79000000;;XG-0000005096-00001;;;Kredit;120;;DK4922735;;;;;;;;;;;;;;;;
90540000;;;;;Debet;120;;DK4922735;;;;;;;;;;;;;;;;
79000000;;XG-0000005096-00001;;;Kredit;179;;DK4922735;;;;;;;;;;;;;;;;
90540000;;;;;Debet;179;;DK4922735;;;;;;;;;;;;;;;;
79000000;;XG-0000005096-00001;;;Kredit;826;;DK4922735;;;;;;;;;;;;;;;;
90540000;;;;;Debet;826;;DK4922735;;;;;;;;;;;;;;;;
79000000;;XG-0000005096-00001;;;Kredit;120;;DK4922735;;;;;;;;;;;;;;;;
90540000;;;;;Debet;120;;DK4922735;;;;;;;;;;;;;;;;
79000000;;XG-0000005096-00001;;;Kredit;942;;DK4922735;;;;;;;;;;;;;;;;
90540000;;;;;Debet;942;;DK4922735;;;;;;;;;;;;;;;;

