Artskonto;Omkostningssted;PSP-element;Profitcenter;Ordre;Debet/kredit;Beløb;Næste agent;Tekst;Betalingsart;Påligningsår;Betalingsmodtagernr.;Betalingsmodtagernr.kode;Ydelsesmodtagernr.;Ydelsesmodtagernr.kode;Ydelsesperiode fra;Ydelsesperiode til;Oplysningspligtnr.;Oplysningspligtmodtagernr.kode;Oplysningspligtkode;Netværk;Operation;Mængde;Mængdeenhed;Referencenøgle
95991009;;;;;Kredit;433,72;;H90356153150000000429;;;;;;;;;;;;;;;;
90541000;;;;;Debet;433,72;;H90356153150000000429;;;;;;;;;;;;;;;;
95991009;;;;;Kredit;7273,7;;H90356153150000000428;;;;;;;;;;;;;;;;
90541000;;;;;Debet;7273,7;;H90356153150000000428;;;;;;;;;;;;;;;;
95931701;;;;;Debet;665,45;;Cap NKS-KY;;;;;;;;;;;;;;;;
90540000;;;;;Kredit;665,45;;Cap NKS-KY;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;4371;;H59087649880000922708;;;;;;;;;;;;;;;;
90540000;;;;;Debet;4371;;H59087649880000922708;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;2500;;H59087649880000922707;;;;;;;;;;;;;;;;
90540000;;;;;Debet;2500;;H59087649880000922707;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;3884;;H59087649880000922706;;;;;;;;;;;;;;;;
90540000;;;;;Debet;3884;;H59087649880000922706;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;2000;;H59087649880000922705;;;;;;;;;;;;;;;;
90540000;;;;;Debet;2000;;H59087649880000922705;;;;;;;;;;;;;;;;
95931701;;;;;Debet;813,88;;Cap NKS-KY;;;;;;;;;;;;;;;;
90540000;;;;;Kredit;813,88;;Cap NKS-KY;;;;;;;;;;;;;;;;
95931701;;;;;Debet;591,79;;Cap NKS-KY;;;;;;;;;;;;;;;;
90540000;;;;;Kredit;591,79;;Cap NKS-KY;;;;;;;;;;;;;;;;
95931701;;;;;Debet;1000;;Cap NKS-KY;;;;;;;;;;;;;;;;
90540000;;;;;Kredit;1000;;Cap NKS-KY;;;;;;;;;;;;;;;;
72000000;;;;;Kredit;259;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;259;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
72000000;;;;;Kredit;346;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;346;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
72000000;;;;;Kredit;1237;;Indtægter via betalingskort - Kasernen;;;;;;;;;;;;;;;;
90540000;;;;;Debet;1237;;Indtægter via betalingskort - Kasernen;;;;;;;;;;;;;;;;
72000000;;;;;Kredit;787;;Indtægter via betalingskort - Sundhedshuset;;;;;;;;;;;;;;;;
90540000;;;;;Debet;787;;Indtægter via betalingskort - Sundhedshuset;;;;;;;;;;;;;;;;
72000000;;;;;Kredit;160;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;160;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
72000000;;;;;Kredit;109;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
90540000;;;;;Debet;109;;Indtægter via betalingskort;;;;;;;;;;;;;;;;
