0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
;;;;;Debet;1639,65;;H59087649880000864980;;;;;;;;;;;;;;;;
;;;;;Kredit;1639,65;;H59087649880000864980;;;;;;;;;;;;;;;;
95914002;;;;;Kredit;2100,00;;Ydelseskontor 121271;;;;;;;;;;;;;;;;
;;;;;Debet;2100,00;;Ydelseskontor 121271;;;;;;;;;;;;;;;;
;;;;;Debet;1996,00;;H59087649880000864978;;;;;;;;;;;;;;;;
;;;;;Kredit;1996,00;;H59087649880000864978;;;;;;;;;;;;;;;;
;;;;;Debet;4,00;;H59087649880000864977;;;;;;;;;;;;;;;;
;;;;;Kredit;4,00;;H59087649880000864977;;;;;;;;;;;;;;;;
95914002;;;;;Debet;547,41;;10692647;;;;;;;;;;;;;;;;
;;;;;Kredit;547,41;;10692647;;;;;;;;;;;;;;;;
;;;;;Debet;4,00;;H59087649880000864975;;;;;;;;;;;;;;;;
;;;;;Kredit;4,00;;H59087649880000864975;;;;;;;;;;;;;;;;
95914002;;;;;Debet;696,66;;10692648;;;;;;;;;;;;;;;;
;;;;;Kredit;696,66;;10692648;;;;;;;;;;;;;;;;
;;;;;Debet;8398,23;;H59087649880000864973;;;;;;;;;;;;;;;;
;;;;;Kredit;8398,23;;H59087649880000864973;;;;;;;;;;;;;;;;
95914002;;;;;Debet;6720,00;;                    møbler indkøbt til klublokalerne;;;;;;;;;;;;;;;;
;;;;;Kredit;6720,00;;                    møbler indkøbt til klublokalerne;;;;;;;;;;;;;;;;
;;;;;Debet;17212,23;;H59087649880000864971;;;;;;;;;;;;;;;;
;;;;;Kredit;17212,23;;H59087649880000864971;;;;;;;;;;;;;;;;
;;;;;Debet;2155,88;;H59087649880000864970;;;;;;;;;;;;;;;;
;;;;;Kredit;2155,88;;H59087649880000864970;;;;;;;;;;;;;;;;
;;;;;Kredit;189,00;;H59087649880000864969;;;;;;;;;;;;;;;;
;;;;;Debet;189,00;;H59087649880000864969;;;;;;;;;;;;;;;;
;;;;;Kredit;30,00;;H59087649880000864968;;;;;;;;;;;;;;;;
;;;;;Debet;30,00;;H59087649880000864968;;;;;;;;;;;;;;;;
;;;;;Kredit;120,00;;H59087649880000864967;;;;;;;;;;;;;;;;
;;;;;Debet;120,00;;H59087649880000864967;;;;;;;;;;;;;;;;
;;;;;Kredit;179,00;;H59087649880000864966;;;;;;;;;;;;;;;;
;;;;;Debet;179,00;;H59087649880000864966;;;;;;;;;;;;;;;;
;;;;;Kredit;826,00;;H59087649880000864965;;;;;;;;;;;;;;;;
;;;;;Debet;826,00;;H59087649880000864965;;;;;;;;;;;;;;;;
;;;;;Kredit;120,00;;H59087649880000864964;;;;;;;;;;;;;;;;
;;;;;Debet;120,00;;H59087649880000864964;;;;;;;;;;;;;;;;
;;;;;Kredit;942,00;;H59087649880000864963;;;;;;;;;;;;;;;;
;;;;;Debet;942,00;;H59087649880000864963;;;;;;;;;;;;;;;;

