provider,codeKey,displayName,domain,family,subFamily,proprietary,description,sourceDocument,isActive
danskebank,ACMT/MCOP/CHRG,Charges,ACMT,MCOP,CHRG,,ISO codes from Danske Bank appendix (Finland proprietary section excluded),https://danskeci.com/-/media/pdf/danskeci-com/iso-20022-xml/banktransactioncode_appendix.pdf?rev=ea7d8b725e954289b4c20b4af8f4d936&hash=F85339238E79F884135190768D6360CF,true
danskebank,ACMT/MCOP/COMM,Commission,ACMT,MCOP,COMM,,ISO codes from Danske Bank appendix (Finland proprietary section excluded),https://danskeci.com/-/media/pdf/danskeci-com/iso-20022-xml/banktransactioncode_appendix.pdf?rev=ea7d8b725e954289b4c20b4af8f4d936&hash=F85339238E79F884135190768D6360CF,true
danskebank,ACMT/MCOP/INTR,Interest,ACMT,MCOP,INTR,,ISO codes from Danske Bank appendix (Finland proprietary section excluded),https://danskeci.com/-/media/pdf/danskeci-com/iso-20022-xml/banktransactioncode_appendix.pdf?rev=ea7d8b725e954289b4c20b4af8f4d936&hash=F85339238E79F884135190768D6360CF,true
danskebank,ACMT/MCOP/TAXE,Taxes,ACMT,MCOP,TAXE,,ISO codes from Danske Bank appendix (Finland proprietary section excluded),https://danskeci.com/-/media/pdf/danskeci-com/iso-20022-xml/banktransactioncode_appendix.pdf?rev=ea7d8b725e954289b4c20b4af8f4d936&hash=F85339238E79F884135190768D6360CF,true
danskebank,ACMT/MDOP/CHRG,Charges,ACMT,MDOP,CHRG,,ISO codes from Danske Bank appendix (Finland proprietary section excluded),https://danskeci.com/-/media/pdf/danskeci-com/iso-20022-xml/banktransactioncode_appendix.pdf?rev=ea7d8b725e954289b4c20b4af8f4d936&hash=F85339238E79F884135190768D6360CF,true
danskebank,ACMT/MDOP/COMM,Commission,ACMT,MDOP,COMM,,ISO codes from Danske Bank appendix (Finland proprietary section excluded),https://danskeci.com/-/media/pdf/danskeci-com/iso-20022-xml/banktransactioncode_appendix.pdf?rev=ea7d8b725e954289b4c20b4af8f4d936&hash=F85339238E79F884135190768D6360CF,true
danskebank,ACMT/MDOP/INTR,Interest,ACMT,MDOP,INTR,,ISO codes from Danske Bank appendix (Finland proprietary section excluded),https://danskeci.com/-/media/pdf/danskeci-com/iso-20022-xml/banktransactioncode_appendix.pdf?rev=ea7d8b725e954289b4c20b4af8f4d936&hash=F85339238E79F884135190768D6360CF,true
danskebank,ACMT/MDOP/TAXE,Taxes,ACMT,MDOP,TAXE,,ISO codes from Danske Bank appendix (Finland proprietary section excluded),https://danskeci.com/-/media/pdf/danskeci-com/iso-20022-xml/banktransactioncode_appendix.pdf?rev=ea7d8b725e954289b4c20b4af8f4d936&hash=F85339238E79F884135190768D6360CF,true
danskebank,ACMT/NTAV/NTAV,Not Available,ACMT,NTAV,NTAV,,ISO codes from Danske Bank appendix (Finland proprietary section excluded),https://danskeci.com/-/media/pdf/danskeci-com/iso-20022-xml/banktransactioncode_appendix.pdf?rev=ea7d8b725e954289b4c20b4af8f4d936&hash=F85339238E79F884135190768D6360CF,true
danskebank,CAMT/ACCB/CAJT,Credit Adjustment,CAMT,ACCB,CAJT,,ISO codes from Danske Bank appendix (Finland proprietary section excluded),https://danskeci.com/-/media/pdf/danskeci-com/iso-20022-xml/banktransactioncode_appendix.pdf?rev=ea7d8b725e954289b4c20b4af8f4d936&hash=F85339238E79F884135190768D6360CF,true
