provider,codeKey,displayName,domain,family,subFamily,proprietary,description,sourceDocument,isActive
nordea,ACMT/MCOP/CHRG,Gebyrer,ACMT,MCOP,CHRG,,DK=Y from MIG camt.053.001.02 Account Statement Extended,https://www.nordea.com/en/doc/nordea-caar-camt.053.001.02-account-statement-extended-0.pdf,true
nordea,ACMT/MCOP/COMM,Kommission,ACMT,MCOP,COMM,,DK=Y from MIG camt.053.001.02 Account Statement Extended,https://www.nordea.com/en/doc/nordea-caar-camt.053.001.02-account-statement-extended-0.pdf,true
nordea,ACMT/MCOP/INTR,Renter,ACMT,MCOP,INTR,,DK=Y from MIG camt.053.001.02 Account Statement Extended,https://www.nordea.com/en/doc/nordea-caar-camt.053.001.02-account-statement-extended-0.pdf,true
nordea,ACMT/MCOP/NTAV,Ikke tilgængelig,ACMT,MCOP,NTAV,,DK=Y from MIG camt.053.001.02 Account Statement Extended,https://www.nordea.com/en/doc/nordea-caar-camt.053.001.02-account-statement-extended-0.pdf,true
nordea,ACMT/MDOP/CHRG,Gebyrer,ACMT,MDOP,CHRG,,DK=Y from MIG camt.053.001.02 Account Statement Extended,https://www.nordea.com/en/doc/nordea-caar-camt.053.001.02-account-statement-extended-0.pdf,true
nordea,ACMT/MDOP/COMM,Kommission,ACMT,MDOP,COMM,,DK=Y from MIG camt.053.001.02 Account Statement Extended,https://www.nordea.com/en/doc/nordea-caar-camt.053.001.02-account-statement-extended-0.pdf,true
nordea,ACMT/MDOP/INTR,Renter,ACMT,MDOP,INTR,,DK=Y from MIG camt.053.001.02 Account Statement Extended,https://www.nordea.com/en/doc/nordea-caar-camt.053.001.02-account-statement-extended-0.pdf,true
nordea,ACMT/MDOP/NTAV,Ikke tilgængelig,ACMT,MDOP,NTAV,,DK=Y from MIG camt.053.001.02 Account Statement Extended,https://www.nordea.com/en/doc/nordea-caar-camt.053.001.02-account-statement-extended-0.pdf,true
nordea,ACMT/OPCL/ACCC,Kontolukning,ACMT,OPCL,ACCC,,DK=Y from MIG camt.053.001.02 Account Statement Extended,https://www.nordea.com/en/doc/nordea-caar-camt.053.001.02-account-statement-extended-0.pdf,true
nordea,ACMT/OPCL/ACCO,Kontoåbning,ACMT,OPCL,ACCO,,DK=Y from MIG camt.053.001.02 Account Statement Extended,https://www.nordea.com/en/doc/nordea-caar-camt.053.001.02-account-statement-extended-0.pdf,true
nordea,CAMT/ACCB/CHRG,Gebyrer,CAMT,ACCB,CHRG,,DK=Y from MIG camt.053.001.02 Account Statement Extended,https://www.nordea.com/en/doc/nordea-caar-camt.053.001.02-account-statement-extended-0.pdf,true
